Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-IN,IN-4,583300,513050,42137000,1003475,3815900,13226000,3828500,167872500,2212400,2411400,5367750,451700
US,US-IN,IN-5,724800,637600,52312000,1247025,4743200,16446000,4757500,208800000,2750500,2997750,6670500,561550
US,US-IN,IN-6,569200,500550,41101750,979000,3723000,12904000,3735000,163800000,2158100,2352300,5237250,440650
US,US-IN,IN-7,589400,518700,42593750,1014475,3858200,13375000,3870500,169785000,2237000,2439450,5426250,456500
US,US-IN,IN-8,492800,433150,35551000,847175,3221000,11167000,3232000,141615000,1867500,2034675,4530750,381700
US,US-IN,IN-9,711800,627550,51407500,1227400,4668200,16182000,4683000,205702500,2706900,2953800,6573750,552150
US,US-KS,KS-1,206100,184400,14850500,360700,1374600,4760000,1377000,61237500,797600,876150,1947750,161050
US,US-KS,KS-2,606000,533300,43760500,1043100,3968000,13750000,3979500,174690000,2299900,2506875,5588250,469600
US,US-KS,KS-3,836400,736850,60356500,1441175,5483500,18987000,5498500,242002500,3177800,3468450,7731000,648200
US,US-KS,KS-4,231900,207850,16695000,406500,1549400,5366000,1551500,69097500,899300,988350,2197500,181600
US,US-KY,KY-1,369300,332850,26642500,650975,2484100,8644000,2485000,111487500,1448400,1586775,3544500,293450
US,US-KY,KY-2,503600,453850,36349500,887650,3388300,11788000,3388000,152115000,1975200,2164200,4830000,399700
US,US-KY,KY-3,722100,651550,52099250,1274350,4862800,16916000,4864000,218437500,2835900,3107925,6948000,574700
US,US-KY,KY-4,506200,456750,36655500,893325,3414400,11890000,3410000,153682500,1990900,2181225,4858500,401250
US,US-KY,KY-5,346800,312650,25020000,611525,2333900,8118000,2334500,104790000,1359900,1490775,3327750,274900
US,US-KY,KY-6,938300,833900,67712000,1631000,6215000,21600000,6223500,275707500,3612300,3941250,8787000,735150
US,US-LA,LA-1,460100,413350,32791000,808500,3074600,10645000,3086500,136830000,1784100,1965150,4391250,362950
US,US-LA,LA-2,446300,401000,31793250,784325,2982100,10316000,2994500,132682500,1729300,1906275,4259250,351850
US,US-LA,LA-3,347100,312050,24730250,610325,2320500,8034000,2330000,103312500,1346500,1483425,3318000,274100
US,US-LA,LA-4,294400,264550,20968750,517400,1967100,6809000,1975500,87510000,1141100,1257225,2811000,232300
US,US-LA,LA-5,244500,219700,17419750,429750,1634000,5656000,1640500,72720000,947900,1044300,2334750,193000
US,US-LA,LA-6,316000,283600,22532250,554700,2109000,7302000,2117500,93750000,1223500,1346850,3009000,249200
US,US-MA,MA-1,520100,468850,37285000,916950,3494200,11977000,3501500,156600000,2018300,2235375,4957500,404450
